client_number;entity_number;is_first
52478;778;True
52478;779;False
52575;780;True
53060;786;True
53157;787;True
53351;789;True
53448;790;True
53642;792;True
53642;793;False
53836;795;True
53933;796;True
54224;800;True
54612;809;True
54612;810;False
54709;811;True
54806;812;True
54903;813;True
55097;814;True
55388;817;True
55582;819;True
55582;820;False
55679;821;True
55776;3;True
55873;822;True
55970;823;True
56067;824;True
56164;825;True
56261;826;True
56358;827;True
56455;828;True
56455;829;False
56552;830;True
56843;834;True
57037;836;True
57134;837;True
57134;838;False
57134;839;False
57231;839;True
57328;838;True
57425;842;True
57522;844;True
57716;849;True
57910;850;True
58007;851;True
58104;852;True
58880;859;True
58977;275;True
59171;861;True
59365;863;True
59462;864;True
59559;865;True
59656;866;True
59850;868;True
59947;869;True
60044;870;True
60335;873;True
60626;877;True
60820;879;True
60820;860;False
60917;880;True
61305;885;True
61402;886;True
61402;887;False
61596;888;True
61693;889;True
61693;890;False
61790;891;True
61887;892;True
62081;894;True
62178;895;True
62275;896;True
62372;898;True
62469;899;True
62469;900;False
62469;901;False
62566;902;True
62566;903;False
62663;904;True
63148;568;True
63148;911;False
63245;912;True
63439;915;True
63536;916;True
63536;917;False
63633;918;True
63633;919;False
63730;920;True
64021;923;True
64118;924;True
64215;925;True
64312;926;True
64312;927;False
64409;927;True
64506;928;True
64506;929;False
64603;930;True
64603;931;False
64797;932;True
64797;933;False
65476;939;True
65573;940;True
65670;941;True
65767;942;True
65864;943;True
65961;944;True
65961;945;False
66058;946;True
66155;947;True
66252;948;True
66349;949;True
66543;952;True
66543;953;False
66737;956;True
66931;960;True
67028;961;True
67028;962;False
67125;963;True
67222;964;True
67319;965;True
67319;966;False
67416;967;True
67513;968;True
67610;117;True
68095;975;True
68095;976;False
68192;977;True
68192;978;False
68192;979;False
68483;984;True
68774;988;True
68871;989;True
68871;659;False
68968;990;True
69065;991;True
69259;994;True
69259;995;False
69356;996;True
69647;1000;True
69744;1001;True
69841;1003;True
69938;1004;True
70423;1014;True
70714;1018;True
70811;1019;True
70811;1020;False
71005;1022;True
71005;1023;False
71102;1024;True
71296;1025;True
71490;1027;True
71587;1029;True
71781;1036;True
71781;304;False
71878;1037;True
71878;1038;False
71975;1039;True
71975;1040;False
72363;1045;True
72557;1048;True
72654;1049;True
72751;1050;True
72945;1052;True
73042;1053;True
73333;1056;True
73430;1057;True
63827;922;True
73527;1058;True
73624;1059;True
73624;1061;False
73721;1060;True
73721;1062;False
73721;1063;False
74109;1068;True
